Posted Date,Reference Number,Payee,Address,Amount
11/08/2024,                       ,"INTEREST CHARGED ON PURCHASES","",-53.32
11/06/2024,24692164310104331379752,"Prime Video *G33WL4CM3 888-802-3080 WA","888-802-3080  WA ",-3.81
11/04/2024,74403034309024000267992,"DOR ALON TAL SAHR","",-67.44
11/04/2024,74580004306269467044829,"PIZZA SHEMSE KRIT SE MODIIN ILIT","",-7.30
11/04/2024,74580004306269455254646,"ISRAEL RAIL-TEL AVIV TEL AVIV","",-5.14
11/04/2024,74403034308048001596589,"RAMI LEVI MODIEIN","",-296.48
11/04/2024,24871154308051410849213,"Netflix.com Los Gatos","",-8.82
11/02/2024,74987504306002941801078,"Google CLOUD CQwJ78 Dublin","",-7.36
11/01/2024,74403034306030000254792,"SUPER HASHMONAIM CHSMONEIM","",-861.27
11/01/2024,30673500010847000673495,"BA ELECTRONIC PAYMENT","",100.00
10/29/2024,74350154303002830719262,"PHILIP STEIN ASSOCIATES tel aviv","",-1141.45
10/28/2024,74350154301002605961182,"-RACHEL OBSERVATORY BENE BERAQ","",-202.02
10/28/2024,74692164300105891507390,"Amazon Prime Amzn.com/billWA","Amzn.com/bill WA ",15.89
10/22/2024,74403034296027006965761,"BEZEQ ORAHOT KEVA 1800800199HOL","",-10.75
10/18/2024,74403034292050003491221,"BAR KOL TOV HASMONEIM","",-109.66
10/16/2024,74403034290035001766932,"RAMI LEVI MODIEIN","",-209.15
10/15/2024,74580004288268202710134,"HOBBY MODIIN MODIIN","",-41.06
10/15/2024,74350154289002105224582,"PETEL MODIIN","",-231.14
10/15/2024,74403034289028000253898,"KRAVITZ MODIEIN","",-71.71
10/14/2024,74403034287059000329802,"SUPER HASHMONAIM CHSMONEIM","",-267.29
10/10/2024,74580004283267979512223,"GMF*SMILES DENTAL CLINI MODIIN","",-175.96
10/09/2024,28373500010847000338393,"BA ELECTRONIC PAYMENT","",351.32
